VAE (beta = 1), 1000 epochs
Epoch [580/1000], Loss: 1.4642
Epoch [590/1000], Loss: 1.4639
Epoch [600/1000], Loss: 1.4636
Epoch [610/1000], Loss: 1.4633
Epoch [620/1000], Loss: 1.4630
Epoch [630/1000], Loss: 1.4627
Epoch [640/1000], Loss: 1.4624
Epoch [650/1000], Loss: 1.4621
Epoch [660/1000], Loss: 1.4618
Epoch [670/1000], Loss: 1.4615
Epoch [680/1000], Loss: 1.4611
Epoch [690/1000], Loss: 1.4608
Epoch [700/1000], Loss: 1.4605
Epoch [710/1000], Loss: 1.4602
Epoch [720/1000], Loss: 1.4599
Epoch [730/1000], Loss: 1.4597
Epoch [740/1000], Loss: 1.4594
Epoch [750/1000], Loss: 1.4591
Epoch [760/1000], Loss: 1.4588
Epoch [770/1000], Loss: 1.4585
Epoch [780/1000], Loss: 1.4582
Epoch [790/1000], Loss: 1.4579
Epoch [800/1000], Loss: 1.4576
Epoch [810/1000], Loss: 1.4573
Epoch [820/1000], Loss: 1.4570
Epoch [830/1000], Loss: 1.4567
Epoch [840/1000], Loss: 1.4565
Epoch [850/1000], Loss: 1.4562
Epoch [860/1000], Loss: 1.4559
Epoch [870/1000], Loss: 1.4556
Epoch [880/1000], Loss: 1.4553
Epoch [890/1000], Loss: 1.4551
Epoch [900/1000], Loss: 1.4548
Epoch [910/1000], Loss: 1.4545
Epoch [920/1000], Loss: 1.4542
Epoch [930/1000], Loss: 1.4540
Epoch [940/1000], Loss: 1.4537
Epoch [950/1000], Loss: 1.4534
Epoch [960/1000], Loss: 1.4531
Epoch [970/1000], Loss: 1.4529
Epoch [980/1000], Loss: 1.4526
Epoch [990/1000], Loss: 1.4523
Epoch [1000/1000], Loss: 1.4520
Disentanglement metric score: 46 %









